0	0.06	0.08	0.08	0.06
100	0.08909127	0.62206868	0.15502947	0.16520909
200	0.07898475	0.7053147	0.1630468	0.2004527
300	0.09515272	0.939403784	0.14321551	0.141164584
400	0.08529264	0.43849188	0.1539606	0.17790686
500	0.07858655	0.578470789	0.15968898	0.241967889
600	0.08064239	0.69716402	0.12157691	0.15731175
700	0.08427733	0.58364993	0.1161035	0.1402106
800	0.08450836	0.44394046	0.13772849	0.10516606
900	0.07764123	0.37248581	0.14255701	0.14237638
1000	0.09609595	0.4880488	0.14055769	0.2166213
1100	0.08211257	0.38507073	0.14342283	0.19678639
1200	0.06961193	0.57853057	0.11341605	0.13307135
1300	0.08937498	0.49390958	0.17877961	0.14004612
1400	0.06588643	0.7092081	0.12248879	0.22395387
1500	0.07937599	0.44247761	0.14817448	0.17743641
1600	0.09200931	0.5674123	0.12134252	0.25481404
1700	0.0855734	0.37767691	0.1441407	0.13074257
1800	0.0860042	0.56615656	0.13453631	0.17196826
1900	0.07819071	0.48912166	0.15373952	0.12653975
2000	0.065756	0.37111539	0.1304623	0.14698333
2100	0.0789897	0.42128273	0.13248017	0.13024473
2200	0.09025844	0.5454334	0.17162578	0.14150932
2300	0.06424798	0.46366078	0.13504849	0.11321202
2400	0.07903651	0.50230576	0.13632066	0.17591428
2500	0.08331383	0.52760218	0.16656441	0.15630288
2600	0.08160956	0.41108734	0.13029756	0.13470024
2700	0.08911764	0.65275002	0.13745878	0.13655564
2800	0.07552324	0.40779177	0.12413555	0.13070601
2900	0.08685795	0.37850523	0.15966341	0.16815811
3000	0.06274229	0.36508341	0.16623563	0.09708762
3100	0.06062798	0.32936092	0.15365042	0.11290252
3200	0.06622421	0.38226399	0.12765088	0.11768375
3300	0.08545572	0.58442434	0.14759929	0.22651994
3400	0.0717357	0.57271184	0.13784336	0.1107807
3500	0.08020854	0.67328753	0.1678365	0.15638693
3600	0.07998686	0.52447688	0.1147392	0.16661728
3700	0.06542653	0.48575326	0.13301391	0.11139165
3800	0.10594496	0.53771589	0.16614659	0.15693573
3900	0.06958971	0.371450767	0.12864322	0.177482567
4000	0.07878767	0.44173963	0.13813882	0.11911079
4100	0.05680308	0.39914557	0.13089196	0.14018115
4200	0.07276762	0.5126031	0.13780542	0.18272598
4300	0.07918899	0.66473025	0.18337562	0.1223649
4400	0.08750599	0.58113993	0.14138316	0.1673944
4500	0.05424264	0.52771257	0.15867681	0.18777747
4600	0.0896744	0.44302163	0.16821478	0.09261807
4700	0.07692981	0.4292924	0.14729122	0.1774994
4800	0.08897384	0.33385451	0.1139757	0.09563492
4900	0.09649286	0.61877018	0.14139231	0.14516446
5000	0.08428989	0.5682076	0.11307247	0.19417981
5100	0.07748276	0.59597759	0.1226068	0.17887524
5200	0.09496388	0.45420688	0.15773207	0.13291039
5300	0.08292335	0.45119831	0.10088392	0.19398302
5400	0.09259437	0.53041431	0.14109313	0.13805501
5500	0.06460396	0.4683687	0.13355778	0.17168933
5600	0.08005117	0.90529022	0.13729944	0.17857312
5700	0.08827407	0.5955872	0.11928123	0.14306816
5800	0.06985541	0.49663817	0.12656779	0.13512784
5900	0.08853002	0.45342382	0.12462766	0.13354581
6000	0.07200935	0.50756473	0.13120385	0.12814703
6100	0.07126814	0.4104105	0.15277068	0.12699371
6200	0.07873468	0.79078634	0.16331511	0.16670884
6300	0.07844032	0.8411905	0.13674943	0.1504142
6400	0.07064972	0.51613186	0.14013087	0.11018354
6500	0.11595386	0.89608391	0.14295304	0.15559439
6600	0.07582937	0.55655683	0.16186969	0.15332181
6700	0.07683383	0.44159196	0.16711434	0.1208704
6800	0.08372891	0.52269619	0.15218116	0.13271629
6900	0.08551079	0.56632501	0.15182504	0.12402412
7000	0.07959273	0.46036286	0.13294503	0.19577166
7100	0.08642526	0.5611709	0.12406878	0.09594816
7200	0.07358257	0.43256826	0.14931353	0.19193023
7300	0.09496338	0.42396	0.13953491	0.18515572
7400	0.09615954	0.48102054	0.15719275	0.15495685
7500	0.08593172	0.74803642	0.16184595	0.13601429
